Id,Company,Model,Variant,FuelType,Colour,Kilometer,BodyStyle,TransmissionType,ManufactureDate,ModelYear,CngKit,Price,Owner,DealerState,DealerName,City,Warranty,QualityScore,HasCNG
573858,Honda,BRIO,S MT,PETROL,Brown,67935,HATCHBACK,Manual,2013-01-06,2013,,375000.0,1.0,Karnataka,ACE MOTORS,Bangalore,0,7.8,0
574097,Hyundai,ELITE I20,MAGNA EXECUTIVE 1.2,PETROL,Red,34580,HATCHBACK,manual,2017-01-01,2017,,620000.0,2.0,Karnataka,PROPEL MOTORS,Bangalore,1,8.2,0
574350,Hyundai,VERNA,VGT CRDI 1.5,DIESEL,Gold,172469,SEDAN,Manual,2008-01-03,2008,,275000.0,2.0,Karnataka,Zippy Automart,Bangalore,0,6.3,0
574951,Mahindra,XUV500,W8,DIESEL,Grey,67147,SUV,Manual,2014-01-03,2014,,950000.0,1.0,Karnataka,Anant Cars Auto Pvt Ltd,Bangalore,1,7.2,0
575071,Tata,TIAGO,XZ,PETROL,Brown,66837,HATCHBACK,,2018-01-08,2018,,530000.0,2.0,Karnataka,PROPEL MOTORS,Bangalore,1,8.3,0
576502,Honda,JAZZ,1.2 V CVT I VTEC BSIV,PETROL,White,63578,HATCHBACK,Manual,2017-01-10,2017,,620000.0,2.0,Karnataka,Zippy Automart,Bangalore,1,7.9,0
576778,Hyundai,GRAND I10,1.2 KAPPA ASTA,PETROL,Red,30959,HATCHBACK,Manual,2017-01-06,2017,,625000.0,1.0,Karnataka,Renew 4 u Automobiles PVT Ltd ,Bangalore,1,8.2,0
576791,Honda,WR V,VX MT PETROL,PETROL,White,54174,SUV,,2017-01-12,2017,,825000.0,1.0,Karnataka,Top Gear Cars,Bangalore,1,8.3,0
576814,Maruti Suzuki,BALENO,DELTA AT 1.2,PETROL,Blue,27701,HATCHBACK,,2018-01-09,2018,,760000.0,1.0,Karnataka,PROPEL MOTORS,Bangalore,1,8.6,0
576911,Ford,FIGO,TREND (O) WITH ABS 1.2,PETROL,Grey,54127,HATCHBACK,Manual,2016-01-04,2016,,495000.0,2.0,Karnataka,ACE MOTORS,Bangalore,1,8.0,0
577007,Fiat,GRAND PUNTO,SPORT 1.3,DIESEL,Yellow,103000,HATCHBACK,Manual,2014-01-10,2014,,455000.0,1.0,Karnataka,Zippy Automart,Bangalore,0,7.7,0
577117,Ford,FIGO,EXI DURATORQ 1.4,DIESEL,White,53490,HATCHBACK,Manual,2012-01-09,2012,,345000.0,1.0,Karnataka,Top Gear Cars,Bangalore,0,7.7,0
577210,Maruti Suzuki,SWIFT,VXI,PETROL,Blue,23768,HATCHBACK,Manual,2018-01-10,2018,,675000.0,1.0,Karnataka,ACE MOTORS,Bangalore,1,8.7,0
577620,Hyundai,EON,ERA PLUS,PETROL,Grey,57834,HATCHBACK,Manual,2015-01-02,2015,,335000.0,2.0,Karnataka,The True Drive,Bangalore,1,8.1,0
577755,Hyundai,I20 ACTIVE,1.2 S,PETROL,Red,32321,HATCHBACK,,2017-01-06,2017,,680000.0,2.0,Karnataka,The True Drive,Bangalore,1,7.9,0
577795,Hyundai,GRAND I10,1.2 KAPPA ASTA O,PETROL,Orange,33975,HATCHBACK,MANUAL,2014-01-08,2014,,515000.00000000006,1.0,Karnataka,Renew 4 u Automobiles PVT Ltd ,Bangalore,1,8.0,0
577806,Ford,ECOSPORT,TITANIUM 1.5 TDCI,DIESEL,Silver,70183,SUV,Manual,2014-01-08,2014,,595000.0,2.0,Karnataka,Top Gear Cars,Bangalore,0,7.2,0
577901,Ford,FIGO,ZXI DURATORQ 1.4,DIESEL,White,69220,HATCHBACK,Manual,2011-01-09,2011,,315000.0,2.0,Karnataka,Cardiction,Bangalore,0,7.3,0
577959,Volkswagen,POLO,COMFORTLINE 1.2L DIESEL,DIESEL,White,50392,HATCHBACK,Manual,2013-01-03,2013,,515000.00000000006,2.0,Karnataka,Cardiction,Bangalore,0,7.3,0
578174,Mahindra,XUV500,W8,DIESEL,Pearl white,104318,SUV,Manual,2014-01-07,2014,,850000.0,2.0,Karnataka,Adeep Motors,Bangalore,0,6.7,0
578387,Mahindra,XUV500(2011_2015),W8,DIESEL,Black,93400,SUV,,2014-01-04,2014,,890000.0,2.0,Karnataka,The True Drive,Bangalore,0,6.7,0
578759,Nissan,MICRA,XE PETROL,PETROL,Orange,66258,HATCHBACK,Manual,2011-01-07,2011,,295000.0,1.0,Karnataka,Top Gear Cars,Bangalore,0,7.5,0
578862,Maruti Suzuki,BALENO,ALPHA,PETROL,Blue,52386,HATCHBACK,,2017-01-09,2017,,730000.0,1.0,Karnataka,Adeep Motors,Bangalore,1,8.4,0
579723,Maruti Suzuki,SWIFT,VDI ABS,DIESEL,Red,32909,HATCHBACK,Manual,2018-01-01,2018,,775000.0,1.0,Karnataka,Top Gear Cars,Bangalore,1,8.2,0
580182,Maruti Suzuki,SWIFT DZIRE,VXI AT,PETROL,Silver,29723,HATCHBACK,Automatic,2018-01-01,2018,,735000.0,1.0,Karnataka,ACE MOTORS,Bangalore,1,8.5,0
580646,Renault,KWID(2015_2019),1.0 RXT AMT O,PETROL,Red,26642,HATCHBACK,,2016-01-11,2016,,420000.0,2.0,Karnataka,The True Drive,Bangalore,1,8.0,0
580647,Hyundai,GRAND I10(2017-2020),MAGNA 1.2 KAPPA VTVT,PETROL,Orange,16806,HATCHBACK,,2018-01-10,2018,,610000.0,1.0,Karnataka,The True Drive,Bangalore,1,8.5,0
580766,Hyundai,GRAND I10,1.2 KAPPA ASTA,PETROL,Blue,36735,HATCHBACK,Manual,2018-01-06,2018,,625000.0,1.0,Karnataka,PROPEL MOTORS,Bangalore,1,8.4,0
581032,Honda,AMAZE,1.2 VXMT I VTEC,PETROL,Silver,44043,SEDAN,Manual,2015-01-08,2015,,565000.0,1.0,Karnataka,ACE MOTORS,Bangalore,1,7.8,0
581240,Honda,JAZZ,1.2 S I VTEC,PETROL,Maroon,64046,HATCHBACK,Manual,2016-01-09,2016,,585000.0,1.0,Karnataka,Renew 4 u Automobiles PVT Ltd ,Bangalore,1,8.0,0
581619,Hyundai,ELITE I20,SPORTZ 1.2,PETROL,Orange,25655,HATCHBACK,manual,2019-01-03,2019,,785000.0,1.0,Karnataka,Renew 4 u Automobiles PVT Ltd ,Bangalore,1,8.5,0
581624,Hyundai,VERNA,1.6 CRDI S,DIESEL,White,84310,SEDAN,Manual,2015-01-09,2015,,695000.0,1.0,Karnataka,Top Gear Cars,Bangalore,1,7.4,0
581649,Honda,AMAZE,1.2 SMT I VTEC,PETROL,Red,54859,SEDAN,Manual,2018-01-10,2018,,675000.0,1.0,Karnataka,Top Gear Cars,Bangalore,1,8.3,0
581653,Honda,WR V,VX MT PETROL,PETROL,Red,51346,SUV,,2018-01-10,2018,,875000.0,1.0,Karnataka,Top Gear Cars,Bangalore,1,8.1,0
581707,Tata,TIAGO,REVOTRON XZ PLUS,PETROL,Red,60937,HATCHBACK,,2019-01-03,2019,,610000.0,1.0,Karnataka,Renew 4 u Automobiles PVT Ltd ,Bangalore,1,8.4,0
581851,Maruti Suzuki,SWIFT DZIRE,VXI,PETROL,Red,24121,SEDAN,Manual,2017-01-07,2017,,675000.0,1.0,Karnataka,Top Gear Cars,Bangalore,1,8.1,0
581867,Honda,WR V,VX MT PETROL,PETROL,Red,35298,SUV,,2019-01-02,2019,,885000.0,1.0,Karnataka,ACE MOTORS,Bangalore,1,8.2,0
581871,Hyundai,VENUE,SX PLUS 1.0 TURBO DCT,PETROL,Forest dew,42138,SUV,,2019-01-11,2019,,1075000.0,1.0,Karnataka,Zippy Automart,Bangalore,1,8.4,0
582013,Maruti Suzuki,CELERIO,VXI AMT,PETROL,Silky silver,50708,HATCHBACK,MANUAL,2015-01-05,2015,,445000.0,2.0,Karnataka,ACE MOTORS,Bangalore,1,7.7,0
582029,Maruti Suzuki,ZEN ESTILO,VXI,PETROL,Beige,85211,HATCHBACK,Manual,2009-01-04,2009,,240000.0,1.0,Karnataka,ACE MOTORS,Bangalore,0,7.2,0
582250,Tata,TIGOR(2018-2020),REVOTORQ XM,DIESEL,Red,13101,SEDAN,,2018-01-10,2018,,625000.0,1.0,Karnataka,Top Gear Cars,Bangalore,1,8.4,0
582272,Volkswagen,POLO(2012-2014),TRENDLINE 1.2L D,DIESEL,Red,75046,HATCHBACK,,2013-01-03,2013,,475000.0,1.0,Karnataka,Top Gear Cars,Bangalore,0,7.4,0
582361,Mahindra,XUV500,W6,DIESEL,Black,59619,SUV,Manual,2014-01-10,2014,,894999.9999999999,1.0,Karnataka,Top Gear Cars,Bangalore,1,7.0,0
582694,Mahindra,KUV100,K4 PLUS 5 SEATER PETROL,PETROL,Red,62001,HATCHBACK,,2016-01-03,2016,,455000.0,1.0,Karnataka,The True Drive,Bangalore,1,8.1,0
582767,Ford,FIGO(2012-2015),DURATORQ DIESEL EXI 1.4,DIESEL,Red,155000,HATCHBACK,,2012-01-08,2012,,275000.0,2.0,Karnataka,Zippy Automart,Bangalore,0,6.8,0
582770,Renault,TRIBER,RXZ,PETROL,Orange,20796,MPV,,2019-01-11,2019,,725000.0,1.0,Karnataka,Top Gear Cars,Bangalore,1,8.6,0
582783,Tata,ALTROZ,XZ PETROL,PETROL,White,7779,HATCHBACK,,2022-01-07,2022,,894999.9999999999,1.0,Karnataka,Top Gear Cars,Bangalore,1,9.0,0
582787,Honda,JAZZ,1.2 V CVT I VTEC BSIV,PETROL,White,39145,HATCHBACK,Manual,2015-01-09,2015,,625000.0,1.0,Karnataka,ACE MOTORS,Bangalore,1,7.5,0
582791,Maruti Suzuki,WAGON R 1.0,VXI + O,PETROL,Red,62139,HATCHBACK,Manual,2018-01-07,2018,,550000.0,1.0,Karnataka,Renew 4 u Automobiles PVT Ltd ,Bangalore,1,8.4,0
582804,Honda,CITY,1.5 V AT,PETROL,Purple,50130,SEDAN,Automatic,2012-01-05,2012,,549000.0,2.0,Karnataka,Zippy Automart,Bangalore,0,6.4,0
582814,Ford,FIGO,EXI DURATEC 1.2,PETROL,Silver,53230,HATCHBACK,Manual,2011-01-03,2011,,285000.0,1.0,Karnataka,ACE MOTORS,Bangalore,0,7.2,0
582863,Kia,SELTOS,1.5 IVT HTX,PETROL,White,33227,SUV,,2019-01-11,2019,,1400000.0,1.0,Karnataka,Sireesh Auto Pvt Ltd,Bangalore,1,8.3,0
582954,Maruti Suzuki,CELERIO X,ZXI AMT(O),PETROL,Grey,30588,HATCHBACK,,2018-01-07,2018,,570000.0,1.0,Karnataka,Zippy Automart,Bangalore,1,8.5,0
583008,Mahindra,XUV500,W6 4X2,DIESEL,White,104000,SUV,Manual,2015-01-11,2015,,975000.0,1.0,Karnataka,The True Drive,Bangalore,0,6.9,0
583032,Volkswagen,POLO,GT TSI,PETROL,White,62700,HATCHBACK,Automatic,2021-01-03,2021,,875000.0,1.0,Karnataka,Cardiction,Bangalore,1,8.1,0
583033,Mahindra,SCORPIO,S5 2WD,DIESEL,Black,133320,SUV,Manual,2018-01-01,2018,,1019999.9999999999,1.0,Karnataka,Cardiction,Bangalore,0,7.0,0
583035,Maruti Suzuki,BALENO,ZETA 1.2,PETROL,Blue,50041,HATCHBACK,,2017-01-01,2017,,735000.0,1.0,Karnataka,Cardiction,Bangalore,1,8.0,0
583111,Hyundai,CRETA,SX 1.6 (O) PETROL,PETROL,White,31516,SUV,Automatic,2018-01-06,2018,,1275000.0,1.0,Karnataka,Zippy Automart,Bangalore,1,7.9,0
583144,Hyundai,I20,ASTA 1.2 O,PETROL,Red,58437,HATCHBACK,Manual,2016-01-12,2016,,695000.0,1.0,Karnataka,Zippy Automart,Bangalore,1,8.1,0
583151,Hyundai,I20,SPORTZ 1.4 CRDI,DIESEL,White,74960,HATCHBACK,Manual,2013-01-08,2013,,475000.0,2.0,Karnataka,Zippy Automart,Bangalore,0,7.2,0
583168,Maruti Suzuki,SWIFT,ZXI,PETROL,White,49808,HATCHBACK,Manual,2021-01-02,2021,,750000.0,1.0,Karnataka,Sireesh Auto Pvt Ltd,Bangalore,1,8.5,0
583607,Tata,TIGOR,REVOTRON XZA,PETROL,Red,32073,SEDAN,,2018-01-10,2018,,645000.0,1.0,Karnataka,Zippy Automart,Bangalore,1,8.4,0
584671,Volkswagen,AMEO,HIGHLINE 1.2L PLUS (P),PETROL,White,33135,SEDAN,,2016-01-11,2016,,595000.0,1.0,Karnataka,Top Gear Cars,Bangalore,1,8.0,0
584895,Nissan,MICRA ACTIVE,XV,PETROL,Blue,44515,HATCHBACK,Manual,2016-01-05,2016,,425000.0,1.0,Karnataka,Zippy Automart,Bangalore,1,7.9,0
584977,Ford,FIGO ASPIRE,"TREND
 1.5",DIESEL,Silver,137388,SEDAN,,2016-01-03,2016,,395000.0,1.0,Karnataka,Sireesh Auto Pvt Ltd,Bangalore,0,7.1,0
585007,Maruti Suzuki,SWIFT,VXI 1.2 BS IV,PETROL,Grey,47129,HATCHBACK,Manual,2018-01-11,2018,,735000.0,1.0,Karnataka,Cardiction,Bangalore,1,8.5,0
585012,Hyundai,I20,SPORTZ 1.4 CRDI,DIESEL,White,108000,HATCHBACK,Manual,2014-01-06,2014,,495000.0,2.0,Karnataka,Zippy Automart,Bangalore,0,7.1,0
585018,Volkswagen,POLO,GT TSI 1.2 PETROL AT,PETROL,White,63088,HATCHBACK,AUOTMATIC,2017-01-07,2017,,900000.0,2.0,Karnataka,Cardiction,Bangalore,1,7.6,0
585031,Hyundai,ELITE I20,SPORTZ 1.2,PETROL,Red,45607,HATCHBACK,manual,2016-01-06,2016,,695000.0,1.0,Karnataka,Cardiction,Bangalore,1,8.0,0
585039,Ford,ECOSPORT(2017-2019),TREND 1.5L TDCI,DIESEL,Brown,63212,SUV,,2018-01-10,2018,,985000.0,1.0,Karnataka,Cardiction,Bangalore,1,7.9,0
585066,Nissan,KICKS,XV 1.5,PETROL,White,40924,SUV,,2019-01-01,2019,,795000.0,1.0,Karnataka,ACE MOTORS,Bangalore,1,8.2,0
585068,Hyundai,SANTRO,1.1 LS,PETROL,Silver,86140,HATCHBACK,,2003-01-11,2003,,165000.0,1.0,Karnataka,ACE MOTORS,Bangalore,0,6.3,0
585151,Maruti Suzuki,S PRESSO,VXI(O)AMT,PETROL,Silver grey,3299,HATCHBACK,,2022-01-07,2022,,595000.0,1.0,Karnataka,Zippy Automart,Bangalore,1,9.2,0
585240,Hyundai,EON,D LITE PLUS,PETROL,White,62467,HATCHBACK,Manual,2012-01-10,2012,,275000.0,2.0,Karnataka,Cardiction,Bangalore,0,7.5,0
585354,Hyundai,CRETA,1.6 SX PLUS AT PETROL,PETROL,Silver,97335,SUV,Automatic,2017-01-11,2017,,925000.0,1.0,Karnataka,Top Gear Cars,Bangalore,1,7.2,0
585669,Ford,ECOSPORT,TREND 1.5 TI VCT,PETROL,White,63264,SUV,Manual,2013-01-11,2013,,525000.0,1.0,Karnataka,Top Gear Cars,Bangalore,0,7.0,0
585699,Ford,ECOSPORT,TITANIUM 1.5 TI VCT,PETROL,Bottle green,76700,SUV,Manual,2015-01-05,2015,,589000.0,2.0,Karnataka,Zippy Automart,Bangalore,0,7.1,0
585976,Nissan,MICRA,XE PETROL,PETROL,Orange,61431,HATCHBACK,Manual,2011-01-01,2011,,295000.0,1.0,Karnataka,Top Gear Cars,Bangalore,0,7.3,0
585979,Mahindra,XUV300,W6 DIESEL,DIESEL,Red,17193,SUV,,2021-01-08,2021,,1125000.0,1.0,Karnataka,ACE MOTORS,Bangalore,1,8.8,0
585982,Honda,JAZZ,1.2 VX I VTEC,PETROL,Cherry red,49165,HATCHBACK,Manual,2017-01-01,2017,,685000.0,1.0,Karnataka,ACE MOTORS,Bangalore,1,8.0,0
585988,Ford,FIGO,TITANIUM 1.2,PETROL,Red,55950,HATCHBACK,Manual,2015-01-11,2015,,545000.0,1.0,Karnataka,ACE MOTORS,Bangalore,1,7.8,0
586193,Ford,ECOSPORT,TITANIUM + 1.0L ECOBOOST BLACK EDITION,PETROL,Black,68778,SUV,Manual,2016-01-10,2016,,675000.0,1.0,Karnataka,Top Gear Cars,Bangalore,1,7.7,0
586199,Mahindra,KUV100,K8 6 SEATER DIESEL,DIESEL,White,45815,HATCHBACK,,2016-01-12,2016,,495000.0,1.0,Karnataka,Top Gear Cars,Bangalore,0,8.0,0
586207,Maruti Suzuki,SWIFT,VXI,PETROL,Warm grey,50159,HATCHBACK,Manual,2018-01-03,2018,,665000.0,1.0,Karnataka,Zippy Automart,Bangalore,1,8.4,0
586216,Honda,CITY,SV CVT PETROL,PETROL,White,48325,SEDAN,Automatic,2014-01-07,2014,,750000.0,1.0,Karnataka,Renew 4 u Automobiles PVT Ltd ,Bangalore,0,7.1,0
586264,Maruti Suzuki,CIAZ,ALPHA 1.5 MT,PETROL,Blue,25029,SEDAN,,2019-01-11,2019,,900000.0,1.0,Karnataka,Sireesh Auto Pvt Ltd,Bangalore,1,8.4,0
586265,Mahindra,SCORPIO,S10,DIESEL,Silver,195575,SUV,Manual,2015-01-12,2015,,894999.9999999999,1.0,Karnataka,Sireesh Auto Pvt Ltd,Bangalore,0,5.5,0
586312,Tata,TIAGO,XZA 1.2 RTN BS4,PETROL,Brown,20361,HATCHBACK ,,2019-01-04,2019,,645000.0,2.0,Karnataka,ACE MOTORS,Bangalore,1,8.4,0
586509,Maruti Suzuki,SWIFT,VXI,PETROL,White,60642,HATCHBACK,Manual,2014-01-10,2014,,535000.0,2.0,Karnataka,Zippy Automart,Bangalore,1,7.6,0
586642,Ford,FIGO,ZXI DURATORQ 1.4,DIESEL,Grey,122790,HATCHBACK,Manual,2013-01-03,2013,,295000.0,2.0,Karnataka,Zippy Automart,Bangalore,0,6.9,0
586670,Maruti Suzuki,SWIFT,VXI 1.2 BS IV,PETROL,White,30728,HATCHBACK,Manual,2016-01-01,2016,,595000.0,1.0,Karnataka,Top Gear Cars,Bangalore,1,8.0,0
586674,Renault,KWID,1.0 RXL,PETROL,Red,30279,HATCHBACK,,2016-01-01,2016,,345000.0,1.0,Karnataka,Top Gear Cars,Bangalore,1,8.2,0
586689,Bmw,X1(2010-2012),SDRIVE20D M SPORT,DIESEL,White,71653,SUV,,2011-01-06,2011,,850000.0,3.0,Karnataka,PROPEL MOTORS,Bangalore,0,5.7,0
586780,Renault,KWID,1.0 RXT AMT O,PETROL,Silver,24191,HATCHBACK,,2018-01-10,2018,,495000.0,1.0,Karnataka,ACE MOTORS,Bangalore,1,8.5,0
586784,Tata,ALTROZ,XZ PETROL,PETROL,Red,20153,HATCHBACK,,2020-01-01,2020,,825000.0,1.0,Karnataka,ACE MOTORS,Bangalore,1,8.4,0
586787,Renault,KWID,1.0 RXT,PETROL,Brown,19126,HATCHBACK,,2016-01-08,2016,,395000.0,1.0,Karnataka,ACE MOTORS,Bangalore,1,8.3,0
586789,Maruti Suzuki,RITZ,LXI BS IV,PETROL,White,60060,HATCHBACK,Manual,2012-01-04,2012,,335000.0,2.0,Karnataka,ACE MOTORS,Bangalore,0,7.2,0
586793,Maruti Suzuki,CIAZ,ALPHA 1.4 MT,PETROL,Maroon,26416,SEDAN,,2017-01-08,2017,,795000.0,1.0,Karnataka,ACE MOTORS,Bangalore,1,7.9,0
586834,Hyundai,EON,ERA PLUS,PETROL,Smoke grey,56417,HATCHBACK,Manual,2016-01-03,2016,,290000.0,1.0,Karnataka,Sireesh Auto Pvt Ltd,Bangalore,0,8.1,0
586856,Renault,KWID,1.0 RXT O,PETROL,Brown,28107,HATCHBACK,,2016-01-11,2016,,365000.0,2.0,Karnataka,Top Gear Cars,Bangalore,1,7.9,0
586886,Maruti Suzuki,CELERIO,ZXI MT,PETROL,Grey,53488,HATCHBACK,MANUAL,2014-01-12,2014,,372000.0,1.0,Karnataka,Zippy Automart,Bangalore,1,7.8,0
586923,Honda,AMAZE,1.2VXMTIVTEC,PETROL,Grey,45529,SEDAN,Manual,2019-01-03,2019,,775000.0,1.0,Karnataka,ACE MOTORS,Bangalore,1,8.4,0
586944,Maruti Suzuki,S PRESSO,VXI(O),PETROL,White,42260,HATCHBACK,,2022-01-06,2022,,500000.0,1.0,Karnataka,Sireesh Auto Pvt Ltd,Bangalore,1,8.8,0
586950,Ford,ECOSPORT(2021-2022),TITANIUM + MT SPORTS DIESEL,DIESEL,Black,45400,SUV,,2021-01-04,2021,,1085000.0,1.0,Karnataka,Zippy Automart,Bangalore,0,8.3,0
586965,Maruti Suzuki,BALENO,ZETA,PETROL,Pearl white,38966,HATCHBACK,,2021-01-02,2021,,850000.0,1.0,Karnataka,Adeep Motors,Bangalore,1,8.7,0
586977,Tata,NEXON,XM,PETROL,White,53647,HATCHBACK,,2018-01-09,2018,,825000.0,1.0,Karnataka,PROPEL MOTORS,Bangalore,1,8.3,0
587269,Honda,JAZZ,1.2 VX I VTEC,PETROL,Brown,67650,HATCHBACK,Manual,2015-01-09,2015,,545000.0,2.0,Karnataka,ACE MOTORS,Bangalore,0,7.5,0
587270,Hyundai,GRAND I10(2013-2017),ASTA AT 1.2 KAPPA VTVT O,PETROL,Grey,46767,HATCHBACK,,2016-01-06,2016,,595000.0,2.0,Karnataka,ACE MOTORS,Bangalore,1,7.9,0
587290,Maruti Suzuki,EECO,5 STR WITH AC PLUSHTR,PETROL,Blue,55231,VAN,Manual,2017-01-09,2017,,425000.0,1.0,Karnataka,Top Gear Cars,Bangalore,1,8.2,0
587323,Volkswagen,AMEO,HIGHLINE DIESEL,DIESEL,Dark grey,70336,SEDAN,,2016-01-10,2016,,625000.0,1.0,Karnataka,Top Gear Cars,Bangalore,1,7.7,0
587806,Hyundai,CRETA,SX 1.5 PETROL,PETROL,White,24468,SUV,Automatic,2021-01-06,2021,,1425000.0,1.0,Karnataka,Sireesh Auto Pvt Ltd,Bangalore,1,8.6,0
