id,company,model,variant,fueltype,colour,kilometer,bodystyle,transmissiontype,manufacturedate,modelyear,cngkit,price,owner,dealerstate,dealername,city,warranty,qualityscore,car_age
574097,Hyundai,Elite I20,Magna Executive 1.2,Petrol,Red,34580,Hatchback,Nan,01-01-2017,2017,Nan,6.2 Lakhs,2Nd Owner,Karnataka,Propel Motors,Bangalore,1,8.2,8
574350,Hyundai,Verna,Vgt Crdi 1.5,Diesel,Gold,123901,Sedan,Manual,01-03-2008,2009,Nan,2.75 Lakhs,2Nd Owner,Karnataka,Zippy Automart,Bangalore,0,6.6000000000000005,16
574951,Mahindra,Xuv500,W8,Diesel,Grey,67147,Suv,Manual,01-03-2014,2014,Nan,9.5 Lakhs,1St Owner,Karnataka,Anant Cars Auto Pvt Ltd,Bangalore,1,7.2,11
575071,Tata,Tiago,Xz,Petrol,Brown,66837,Hatchback,Nan,01-08-2018,2018,Nan,5.3 Lakhs,2Nd Owner,Karnataka,Propel Motors,Bangalore,1,8.3,7
576502,Honda,Jazz,1.2 V Cvt I Vtec Bsiv,Petrol,White,63578,Hatchback,Nan,01-10-2017,2017,Nan,6.2 Lakhs,2Nd Owner,Karnataka,Zippy Automart,Bangalore,1,7.9,8
576778,Hyundai,Grand I10,1.2 Kappa Asta,Petrol,Red,30959,Hatchback,Manual,01-06-2017,2017,Nan,6.25 Lakhs,1St Owner,Karnataka,Renew 4 U Automobiles Pvt Ltd,Bangalore,1,8.2,8
576791,Honda,Wr V,Vx Mt Petrol,Petrol,White,54174,Suv,Nan,01-12-2017,2017,Nan,8.25 Lakhs,1St Owner,Karnataka,Top Gear Cars,Bangalore,1,8.3,8
576814,Maruti Suzuki,Baleno,Delta At 1.2,Petrol,Blue,27701,Hatchback,Nan,01-09-2018,2018,Nan,7.6 Lakhs,1St Owner,Karnataka,Propel Motors,Bangalore,1,8.6,7
576911,Ford,Figo,Trend (O) With Abs 1.2,Petrol,Grey,54127,Hatchback,Nan,01-04-2016,2016,Nan,4.95 Lakhs,2Nd Owner,Karnataka,Ace Motors,Bangalore,1,8.0,9
577007,Fiat,Grand Punto,Sport 1.3,Diesel,Yellow,103000,Hatchback,Manual,01-10-2014,2014,Nan,4.55 Lakhs,1St Owner,Karnataka,Zippy Automart,Bangalore,0,7.7,11
577117,Ford,Figo,Exi Duratorq 1.4,Diesel,White,53490,Hatchback,Manual,01-09-2012,2012,Nan,3.45 Lakhs,1St Owner,Karnataka,Top Gear Cars,Bangalore,0,7.7,13
577210,Maruti Suzuki,Swift,Vxi,Petrol,Blue,23768,Hatchback,Manual,01-10-2018,2018,Nan,6.75 Lakhs,1St Owner,Karnataka,Ace Motors,Bangalore,1,8.7,7
577620,Hyundai,Eon,Era Plus,Petrol,Grey,57834,Hatchback,Manual,01-02-2015,2015,Nan,3.35 Lakhs,2Nd Owner,Karnataka,The True Drive,Bangalore,1,8.1,10
577755,Hyundai,I20 Active,1.2 S,Petrol,Red,32321,Hatchback,Nan,01-06-2017,2017,Nan,6.8 Lakhs,2Nd Owner,Karnataka,The True Drive,Bangalore,1,7.9,8
577795,Hyundai,Grand I10,1.2 Kappa Asta O,Petrol,Orange,33975,Hatchback,Manual,01-08-2014,2014,Nan,5.15 Lakhs,1St Owner,Karnataka,Renew 4 U Automobiles Pvt Ltd,Bangalore,1,8.0,11
577806,Ford,Ecosport,Titanium 1.5 Tdci,Diesel,Silver,70183,Suv,Manual,01-08-2014,2014,Nan,5.95 Lakhs,2Nd Owner,Karnataka,Top Gear Cars,Bangalore,0,7.2,11
577901,Ford,Figo,Zxi Duratorq 1.4,Diesel,White,69220,Hatchback,Manual,01-09-2011,2011,Nan,3.15 Lakhs,2Nd Owner,Karnataka,Cardiction,Bangalore,0,7.3,14
577959,Volkswagen,Polo,Comfortline 1.2L Diesel,Diesel,White,50392,Hatchback,Manual,01-03-2013,2013,Nan,5.15 Lakhs,2Nd Owner,Karnataka,Cardiction,Bangalore,0,7.3,12
578174,Mahindra,Xuv500,W8,Diesel,Pearl White,104318,Suv,Manual,01-07-2014,2014,Nan,8.5 Lakhs,2Nd Owner,Karnataka,Adeep Motors,Bangalore,0,6.7,11
578387,Mahindra,Xuv500(2011_2015),W8,Diesel,Black,93400,Suv,Nan,01-04-2014,2014,Nan,8.9 Lakhs,2Nd Owner,Karnataka,The True Drive,Bangalore,0,6.7,11
578759,Nissan,Micra,Xe Petrol,Petrol,Orange,66258,Hatchback,Manual,01-07-2011,2011,Nan,2.95 Lakhs,1St Owner,Karnataka,Top Gear Cars,Bangalore,0,7.5,14
