Id,Company,Model,Variant,FuelType,Colour,Kilometer,BodyStyle,TransmissionType,ManufactureDate,ModelYear,CngKit,Price,Owner,DealerState,DealerName,City,Warranty,QualityScore
576778,Hyundai,GRAND I10,1.2 KAPPA ASTA,PETROL,Red,30959,HATCHBACK,Manual,06-01-2017,2017,,625000,1,Karnataka,Renew 4 u Automobiles PVT Ltd ,Bangalore,1,8.2
576791,Honda,WR V,VX MT PETROL,PETROL,White,54174,SUV,,12-01-2017,2017,,825000,1,Karnataka,Top Gear Cars,Bangalore,1,8.3
576814,Maruti Suzuki,BALENO,DELTA AT 1.2,PETROL,Blue,27701,HATCHBACK,,09-01-2018,2018,,760000,1,Karnataka,PROPEL MOTORS,Bangalore,1,8.6
576911,Ford,FIGO,TREND (O) WITH ABS 1.2,PETROL,Grey,54127,HATCHBACK,,04-01-2016,2016,,495000,2,Karnataka,ACE MOTORS,Bangalore,1,8
577007,Fiat,GRAND PUNTO,SPORT 1.3,DIESEL,Yellow,103000,HATCHBACK,Manual,10-01-2014,2014,,455000,1,Karnataka,Zippy Automart,Bangalore,0,7.7
577117,Ford,FIGO,EXI DURATORQ 1.4,DIESEL,White,53490,HATCHBACK,Manual,09-01-2012,2012,,345000,1,Karnataka,Top Gear Cars,Bangalore,0,7.7
577210,Maruti Suzuki,SWIFT,VXI,PETROL,Blue,23768,HATCHBACK,Manual,10-01-2018,2018,,675000,1,Karnataka,ACE MOTORS,Bangalore,1,8.7
577620,Hyundai,EON,ERA PLUS,PETROL,Grey,57834,HATCHBACK,Manual,02-01-2015,2015,,335000,2,Karnataka,The True Drive,Bangalore,1,8.1
577755,Hyundai,I20 ACTIVE,1.2 S,PETROL,Red,32321,HATCHBACK,,06-01-2017,2017,,680000,2,Karnataka,The True Drive,Bangalore,1,7.9
577795,Hyundai,GRAND I10,1.2 KAPPA ASTA O,PETROL,Orange,33975,HATCHBACK,MANUAL,08-01-2014,2014,,515000,1,Karnataka,Renew 4 u Automobiles PVT Ltd ,Bangalore,1,8
577806,Ford,ECOSPORT,TITANIUM 1.5 TDCI,DIESEL,Silver,70183,SUV,Manual,08-01-2014,2014,,595000,2,Karnataka,Top Gear Cars,Bangalore,0,7.2
577901,Ford,FIGO,ZXI DURATORQ 1.4,DIESEL,White,69220,HATCHBACK,Manual,09-01-2011,2011,,315000,2,Karnataka,Cardiction,Bangalore,0,7.3
577959,Volkswagen,POLO,COMFORTLINE 1.2L DIESEL,DIESEL,White,50392,HATCHBACK,Manual,03-01-2013,2013,,515000,2,Karnataka,Cardiction,Bangalore,0,7.3
578174,Mahindra,XUV500,W8,DIESEL,Pearl white,104318,SUV,Manual,07-01-2014,2014,,850000,2,Karnataka,Adeep Motors,Bangalore,0,6.7
578387,Mahindra,XUV500(2011_2015),W8,DIESEL,Black,93400,SUV,,04-01-2014,2014,,890000,2,Karnataka,The True Drive,Bangalore,0,6.7
578759,Nissan,MICRA,XE PETROL,PETROL,Orange,66258,HATCHBACK,Manual,07-01-2011,2011,,295000,1,Karnataka,Top Gear Cars,Bangalore,0,7.5
578862,Maruti Suzuki,BALENO,ALPHA,PETROL,Blue,52386,HATCHBACK,,09-01-2017,2017,,730000,1,Karnataka,Adeep Motors,Bangalore,1,8.4
579723,Maruti Suzuki,SWIFT,VDI ABS,DIESEL,Red,32909,HATCHBACK,Manual,01-01-2018,2018,,775000,1,Karnataka,Top Gear Cars,Bangalore,1,8.2
580182,Maruti Suzuki,SWIFT DZIRE,VXI AT,PETROL,Silver,29723,HATCHBACK,Automatic,01-01-2018,2018,,735000,1,Karnataka,ACE MOTORS,Bangalore,1,8.5
580646,Renault,KWID(2015_2019),1.0 RXT AMT O,PETROL,Red,26642,HATCHBACK,,11-01-2016,2016,,420000,2,Karnataka,The True Drive,Bangalore,1,8
580647,Hyundai,GRAND I10(2017-2020),MAGNA 1.2 KAPPA VTVT,PETROL,Orange,16806,HATCHBACK,,10-01-2018,2018,,610000,1,Karnataka,The True Drive,Bangalore,1,8.5
580766,Hyundai,GRAND I10,1.2 KAPPA ASTA,PETROL,Blue,36735,HATCHBACK,Manual,06-01-2018,2018,,625000,1,Karnataka,PROPEL MOTORS,Bangalore,1,8.4
581032,Honda,AMAZE,1.2 VXMT I VTEC,PETROL,Silver,44043,SEDAN,Manual,08-01-2015,2015,,565000,1,Karnataka,ACE MOTORS,Bangalore,1,7.8
581240,Honda,JAZZ,1.2 S I VTEC,PETROL,Maroon,64046,HATCHBACK,,09-01-2016,2016,,585000,1,Karnataka,Renew 4 u Automobiles PVT Ltd ,Bangalore,1,8
581619,Hyundai,ELITE I20,SPORTZ 1.2,PETROL,Orange,25655,HATCHBACK,manual,03-01-2019,2019,,785000,1,Karnataka,Renew 4 u Automobiles PVT Ltd ,Bangalore,1,8.5
581624,Hyundai,VERNA,1.6 CRDI S,DIESEL,White,84310,SEDAN,,09-01-2015,2015,,695000,1,Karnataka,Top Gear Cars,Bangalore,1,7.4
581649,Honda,AMAZE,1.2 SMT I VTEC,PETROL,Red,54859,SEDAN,Manual,10-01-2018,2018,,675000,1,Karnataka,Top Gear Cars,Bangalore,1,8.3
581653,Honda,WR V,VX MT PETROL,PETROL,Red,51346,SUV,,10-01-2018,2018,,875000,1,Karnataka,Top Gear Cars,Bangalore,1,8.1
581707,Tata,TIAGO,REVOTRON XZ PLUS,PETROL,Red,60937,HATCHBACK,,03-01-2019,2019,,610000,1,Karnataka,Renew 4 u Automobiles PVT Ltd ,Bangalore,1,8.4
581851,Maruti Suzuki,SWIFT DZIRE,VXI,PETROL,Red,24121,SEDAN,Manual,07-01-2017,2017,,675000,1,Karnataka,Top Gear Cars,Bangalore,1,8.1
